"Number Of Addicts By Type Of Drugs, Malaysia",,,,,,,,,,,,,,,,,,,,,,,
Sum of Value,Column Labels,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Grand Total,,,,,,
Amphetamine,74,382,226,73,225,84,4285,60,31,0,0,,,,,,5440,,,,,,
Amphetamine-type stimulants (ATS),,,,,,,,,,476,1774,1314,3395,764,1152,2872,11747,,,,,,
Codeine,464,412,180,91,70,50,71,11,3,0,0,,,,,,1352,,,,,,
Ectasy Pill,213,395,228,182,119,83,240,10,5,0,0,,,,,,1475,,,,,,
Heroin,12796,13914,7963,4752,4974,5047,6483,4452,4354,0,0,,,,,,64735,,,,,,
Marijuana,6723,5044,5275,3385,1726,5207,3011,1559,1090,1885,1919,1389,1236,1066,1122,755,42392,,,,,,
Metamphetamine,5893,3832,2411,1235,1443,1131,4026,1588,689,2901,4117,,,,,,29266,,,,,,
Methamphetamine (crystalline),,,,,,,,,,,,8133,10107,10419,11531,13768,53958,,,,,,
Methamphetamine (pills),,,,,,,,,,,,0,0,4366,4853,2386,11605,,,,,,
Morphine,12172,8047,5889,4312,3640,3386,5181,3465,2820,0,0,,,,,,48912,,,,,,
Opiate,0,0,0,0,0,0,0,0,0,16035,14496,16616,16985,10154,7746,7938,89970,,,,,,
Opium,27,20,7,14,9,5,31,7,3,0,0,0,0,0,0,0,123,,,,,,
Others,18,10,11,3,1,704,220,26,14,18,43,26,23,13,19,78,1227,,,,,,
Psychotropic Pill,292,752,621,442,145,39,94,16,6,46,6,1,18,9,26,14,2527,,,,,,
Grand Total,38672,32808,22811,14489,12352,15736,23642,11194,9015,21361,22355,27479,31764,26791,26449,27811,364729,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Number Of Drug Addicts By Age Group, Malaysia",,,,,,,,,,,,,,,,,,,,,,,
Sum of Value,Column Labels,,,,,,,,,,,,,,,,,,,,,,
